"input_taxon","input_status","family","genus","hybrid_marker","species","infraspecific_rank","infraspecific","authority","taxonomic_status","acronym","taxa"
"Helictotrichon pubescens (Huds.) Schult. & Schult.f.","Accepted","Poaceae","Helictotrichon","","pubescens","","","(Huds.) Schult. & Schult.f.","Accepted","HELPUB","Helictotrichon  pubescens  "
"Holcus lanatus L.","Accepted","Poaceae","Holcus","","lanatus","","","L.","Accepted","HOLLAN","Holcus  lanatus  "
"Lolium multiflorum Lamm.","Accepted","Poaceae","Lolium","","multiflorum","","","Lam.","Accepted","LOLMUL","Lolium  multiflorum  "
"Lolium perenne L","Accepted","Poaceae","Lolium","","perenne","","","L.","Accepted","LOLPER","Lolium  perenne  "
"Phalaris arundinacea L","Accepted","Poaceae","Phalaris","","arundinacea","","","L.","Accepted","PHAARU","Phalaris  arundinacea  "
"Phleum alpinum L.","Accepted","Poaceae","Phleum","","alpinum","","","L.","Accepted","PHLALP","Phleum  alpinum  "
"Phleum arenarium L.","Accepted","Poaceae","Phleum","","arenarium","","","L.","Accepted","PHLARE","Phleum  arenarium  "
"Phleum phleoides (L.) H.Karst.","Accepted","Poaceae","Phleum","","phleoides","","","(L.) H.Karst.","Accepted","PHLPHL","Phleum  phleoides  "
"Phleum pratense L.","Accepted","Poaceae","Phleum","","pratense","","","L.","Accepted","PHLPRA","Phleum  pratense  "
"Poa abbreviata R.Br.","Accepted","Poaceae","Poa","","abbreviata","","","R.Br.","Accepted","POAABB","Poa  abbreviata  "
"Poa alpina L.","Accepted","Poaceae","Poa","","alpina","","","L.","Accepted","POAALP","Poa  alpina  "
"Poa annua L.","Accepted","Poaceae","Poa","","annua","","","L.","Accepted","POAANN","Poa  annua  "
"Poa angustifolia L.","Accepted","Poaceae","Poa","","angustifolia","","","L.","Accepted","POAANG","Poa  angustifolia  "
"Poa arctica R.Br. ","Accepted","Poaceae","Poa","","arctica","","","R.Br.","Accepted","POAARC","Poa  arctica  "
"Poa bulbosa L.","Accepted","Poaceae","Poa","","bulbosa","","","L.","Accepted","POABUL","Poa  bulbosa  "
"Poa chaixii Vill. ","Accepted","Poaceae","Poa","","chaixii","","","Vill.","Accepted","POACHA","Poa  chaixii  "
"Poa compressa L. ","Accepted","Poaceae","Poa","","compressa","","","L.","Accepted","POACOM","Poa  compressa  "
"Poa flexuosa Sm.","Accepted","Poaceae","Poa","","flexuosa","","","Sm.","Accepted","POAFLE","Poa  flexuosa  "
"Poa glauca Vahl","Accepted","Poaceae","Poa","","glauca","","","Vahl","Accepted","POAGLA","Poa  glauca  "
"Poa hartzii Gand.","Accepted","Poaceae","Poa","","hartzii","","","Gand.","Accepted","POAHAR","Poa  hartzii  "
"Poa lindebergii Tzvelev","Accepted","Poaceae","Poa","","lindebergii","","","Tzvelev","Accepted","POALIN","Poa  lindebergii  "
"Poa nemoralis L.","Accepted","Poaceae","Poa","","nemoralis","","","L.","Accepted","POANEM","Poa  nemoralis  "
"Poa palustris L.","Accepted","Poaceae","Poa","","palustris","","","L.","Accepted","POAPAL","Poa  palustris  "
"Poa pratensis L.","Accepted","Poaceae","Poa","","pratensis","","","L.","Accepted","POAPRA","Poa  pratensis  "
"Poa remota Forselles","Accepted","Poaceae","Poa","","remota","","","Forselles","Accepted","POAREM","Poa  remota  "
"Poa supina Schrad. ","Accepted","Poaceae","Poa","","supina","","","Schrad.","Accepted","POASUP","Poa  supina  "
"Poa trivialis L.","Accepted","Poaceae","Poa","","trivialis","","","L.","Accepted","POATRI","Poa  trivialis  "
"Trisetum flavescens","Accepted","Poaceae","Trisetum","","flavescens","","","(L.) P.Beauv.","Accepted","TRIFLA","Trisetum  flavescens  "
